Id,Title,Publication,Publication_Type,Publication_Domain,Link,Author,Date,QAI_Types,Base_Technique,QAI_Integration_Mechanism,Number_Of_Agents,Modality,Number_Of_Input_Modalities,Part_Of_EI_Enhanced_By_QAI,Main_Functionality_Of_Enhanced_Modules,Enhancement_Type,Explanation_Details,Capability_And_Primary_Task,Application_Context,Mobility_Mode,Github_Repo,Quantum_Side_Execution,Quantum_Side_Platform,Embodied_Side_Evaluation,Embodied_Side_Platform,Hybrid_Setting
100,Dynamic modeling and friction parameter identification of a hybrid robot considering active and passive joint frictions,MECHANISM AND MACHINE THEORY,Journal,Robotics,https://doi.org/10.1016/j.mechmachtheory.2025.106348,"Ma, Yue; Chen, Long; Liu, Haitao; Li, Bin; Liu, Qi; Peng, Honggui; Peng, Dun",2026,quantum-inspired,Swarm intelligence,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",single,Proprioception,unimodal,execution,"GQPSO achieves global optimal identification of the Stribeck friction parameters for both active and passive joints, enabling highly accurate prediction of the driving torque in the dynamic model, supporting friction feedforward compensation, and eliminating crawling, jitter, and positioning deviations.",Optimization,Optimization:GQPSO finds the most accurate joint friction parameters.,Kinematics Dynamics Modeling,Generic Robotics,Fixed-base Robot,Null,Classical execution of quantum-inspired method,,Physical embodied platform,Numerical simulation; Physical robot platforms,Embodied-side evaluation with classical quantum-inspired execution
101,A Robot SLAM Improved by Quantum-Behaved Particles Swarm Optimization,MATHEMATICAL PROBLEMS IN ENGINEERING,Journal,Mathematics,https://doi.org/10.1155/2018/1596080,"Zuo, Tao; Min, Huasong; Tang, Quan; Tao, Qiang",2018,quantum-inspired,Swarm intelligence,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",single,Proprioception,unimodal,perception,"QPSO is used to optimize the proposal distribution of particles and drive them toward regions with high likelihood,improving the accuracy and robustness of robot pose estimation and landmark mapping",Optimization,"Optimization:In the high-dimensional state space of SLAM, the proposal distribution of the particle filter is optimized, enabling particles to converge faster to the optimal pose estimates.",Simultaneous Localization And Mapping,Generic Robotics,Wheeled Robot,Null,Classical execution of quantum-inspired method,,Numerical or engineering simulation,MATLAB; Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
102,Trajectory planning of autonomous mobile robots applying a particle swarm optimization algorithm with peaks of diversity,APPLIED SOFT COMPUTING,Journal,Artificial Intelligence,https://doi.org/10.1016/j.asoc.2021.108108,"Fernandes, P. B.; Oliveira, R. C. L.; Fonseca Neto, J. V.",2022,quantum-inspired,Swarm intelligence,Quantum-inspired parameter update mechanism,single,Position Modality,unimodal,reasoning,"EDPSO first conducts a large-scale exploration of the environment using QPSO, then performs fine convergence with GCPSO. It creates diversity peaks by resetting particles, optimizes with the three objectives of path length, terrain, and collision avoidance, and outputs the trajectory.",Optimization,Optimization:EDPSO efficiently searches for the optimal path solution in the complex and high-dimensional path planning space.,Navigation Path Planning,Generic Robotics,Mobile Robot(unspecified),Null,Classical execution of quantum-inspired method,,No embodied-side evaluation platform reported,,Algorithm-level/conceptual evaluation without explicit execution/evaluation
103,Production Task Allocation Decision Based on Cloud Robot Cell-Line,COMPUTATIONAL INTELLIGENCE AND NEUROSCIENCE,Journal,Artificial Intelligence,https://doi.org/10.1155/2022/5892943,"Du, Yi; Wang, Yongqiang; Wang, Jialin; Zhang, Tianpeng",2022,quantum-inspired,Swarm intelligence,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",multi,Proprioception,unimodal,reasoning,"QFA employs quantum coding and swarm search to quickly solve the optimal task–line allocation for cloud robot cell-lines, achieving the dual‑objective minimization of production time and cost.",Optimization,Optimization:QFA searches for optimal task allocation plan,Task Allocation Coordination,Generic Robotics,Fixed-base Robot,Null,Classical execution of quantum-inspired method,,No embodied-side evaluation platform reported,,Algorithm-level/conceptual evaluation without explicit execution/evaluation
104,Detection of Participation and Training Task Difficulty Applied to the Multi-Sensor Systems of Rehabilitation Robots,SENSORS,Journal,Other,https://doi.org/10.3390/s19214681,"Yan, Hao; Wang, Hongbo; Vladareanu, Luige; Lin, Musong; Vladareanu, Victor; Li, Yungui",2019,quantum-inspired,Swarm intelligence,Quantum-inspired parameter update mechanism,single,"Haptics,Proprioception",multimodal,perception,"SVM is responsible for classifying task difficulty and participation level, while QPSO optimizes the penalty coefficient C and kernel width σ of SVM to select the optimal parameters and improve the generalization ability of SVM.",Optimization,Optimization:QPSO is responsible for optimizing the parameters of the SVM model.,Human-robot Interaction,Healthcare,Wearable Robot,Null,Classical execution of quantum-inspired method,,Physical embodied platform,LLR-II rehabilitation robot,Embodied-side evaluation with classical quantum-inspired execution
105,An Improved Nonstationary Fuzzy System Approach versus Type-2 Fuzzy System for the Lifting Motion Control with Human-in-the-Loop Simulation,INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS,Journal,Artificial Intelligence,https://link.springer.com/article/10.2991/ijcis.11.1.14,"Karakose, Mehmet",2018,quantum-inspired,Swarm intelligence,Quantum-inspired parameter update mechanism,single,Proprioception,unimodal,execution,"Fuzzy integral aggregates multi-instance reasoning outputs of nonstationary fuzzy systems and QPSO optimizes importance weights,supporting real-time and precise motion control for embodied intelligence.",Optimization,Optimization:The QPSO solves for the optimal values of the weight parameters of the fuzzy integral.,Control,Generic Robotics,Humanoid Robot,Null,Classical execution of quantum-inspired method,,Numerical or engineering simulation,MATLAB; Simulink; Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
106,An integrated approach using metaheuristic algorithms and neural networks for robot dynamic model identification within constrained workspaces,CONTROL ENGINEERING PRACTICE,Journal,Computer Science,https://doi.org/10.1016/j.conengprac.2025.106628,"Li, Yi; Zhang, Haohao; Wang, Yixin; Zhang, Bo; Liu, Fakang; Zhang, Chixing; Li, Chong; Tian, Xuhang",2026,quantum-inspired,Swarm intelligence,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",single,Proprioception,unimodal,execution,"The QTLF-PSO algorithm generates phased Fourier trajectories based on the initial joint positions, the MSCHO solves the basic dynamic parameters such as inertia, and the MLPNN fits unmodeled nonlinearities.","Optimization,Probabilistic","Optimization:As an improved quantum-inspired particle swarm optimization algorithm, QTLF-PSO solves for the optimal parameters of excitation trajectories.Probalistic:utilize the quantum tunneling effect",Kinematics Dynamics Modeling,Generic Robotics,Fixed-base Robot,Null,Classical execution of quantum-inspired method,,Physical embodied platform,MATLAB; Simulink; Numerical simulation; Physical robot platforms,Embodied-side evaluation with classical quantum-inspired execution
107,"Quantum computing and neuromorphic computing for safe, reliable, and explainable multi-agent reinforcement learning: optimal control in autonomous robotics",Iran Journal of Computer Science,Journal,Computer Science,https://www.scopus.com/pages/publications/105010765577?origin=resultslist,Taghavi M.; Farnoosh R.,2025,hybrid,Reinforcement learning,Parameterized quantum circuit as learnable operator,multi,"Environmental Modality,Position Modality",multimodal,reasoning,The quantum module processes environmental observations and generates latent variables or abstract actions through variational quantum circuits. The quantum outputs are converted into spike signals via the mediator layer and passed to the neuromorphic controller as contextual bias.,"Representation, Learning",Learning:The PQC updates its parameters based on environmental feedback to enhance learning capabilities.Representation:Quantum superposition and entanglement are leveraged to enhance the modeling capability for high-dimensional state spaces in multi-agent systems.,Safety and Explainability,Generic Robotics,Aerial Robot,https://github.com/mazyartaghavi/Quantum-and-Neuromorphic-MARL,Quantum simulator or software framework,Qiskit,Numerical or engineering simulation,Numerical simulation,Coupled quantum-side execution and embodied-side evaluation
108,REQDGAN-TUA: A Reflection Equivariant Quantum Graph Attention Framework With Tactical Unit Optimization for Intelligent Fault Diagnosis in Industrial Robotics,Journal of Field Robotics,Journal,Robotics,https://www.scopus.com/pages/publications/105025005568?origin=resultslist,Kamesh D.B.K.; Arunachalam K.P.; Verma A.; Kumar J.R.R.,2026,quantum-inspired,Neural networks,Quantum feature mappint,single,Sensor(Unspecified),multimodal,reasoning,"This quantum neural network enhances fault perception and classification accuracy in noisy environments by mapping sensor data into a high-dimensional quantum Hilbert space, and integrating reflection equivariance with a dynamic graph attention mechanism.","Representation, Learning","Representation:Map classical robotic sensor data to high-dimensional quantum states.Learning:The core of REQDGAN is a variational quantum circuit, which is trained by adjusting the parameters of quantum gates using a classical optimizer.",Monitoring Inspection,Manufacturing,Fixed-base Robot,https://www.kaggle.com/datasets/sabermalek/imfds,Classical execution of quantum-inspired method,,No embodied-side evaluation platform reported,,Algorithm-level/conceptual evaluation without explicit execution/evaluation
109,Chaos quantum bee colony algorithm for constrained complicate optimization problems and application of robot gripper,Soft Computing,Journal,Artificial Intelligence,https://www.scopus.com/pages/publications/85199311813?origin=resultslist,Ma R.; Gui J.; Wen J.; Guo X.,2024,quantum-inspired,Swarm intelligence,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",single,Proprioception,unimodal,execution,"The quantum artificial bee colony algorithm using Sin chaos and Cauchy factor outputs the optimal structural parameters of the robot gripper based on the decision variables of the optimization problem, and solves the constrained complex optimization problem of the robot gripper in embodied intelligence.","Optimization,Control","Optimization:It leverages quantum-inspired mechanisms to enhance the efficiency of searching for global optimal solutions in complex, high-dimensional spaces.Control:The model outputs the optimal structural parameters of the robot gripper.",Control,Generic Robotics,Fixed-base Robot,within the article,Classical execution of quantum-inspired method,,Numerical or engineering simulation,MATLAB R2022b,Embodied-side evaluation with classical quantum-inspired execution
110,Kinematic Parameter Identification of Robotic Manipulators Based on SE(3) Lie Group Error Modeling and Improved Genetic Algorithm,Journal of Physics: Conference Series,Conference,Physics,https://www.scopus.com/pages/publications/105019934320?origin=resultslist,Zhang L.; Fang L.,2025,quantum-inspired,Evolutionary computation,Quantum-inspired parameter update mechanism,single,Proprioception,unimodal,execution,The improved quantum genetic algorithm enhances the precise identification and error correction performance of robot kinematic parameters by optimizing the objective function.,Optimization,"Optimization:By introducing the historical elite memory mechanism and the perturbation rotation strategy, solve the problem of easily falling into local optima during the identification process.",Kinematics Dynamics Modeling,Generic Robotics,Fixed-base Robot,Null,Classical execution of quantum-inspired method,,Numerical or engineering simulation,MATLAB,Embodied-side evaluation with classical quantum-inspired execution
111,A smooth path planning method for mobile robot using a BES-incorporated modified QPSO algorithm,Expert Systems with Applications,Journal,Artificial Intelligence,https://www.scopus.com/pages/publications/85135139726?origin=resultslist,Dian S.; Zhong J.; Guo B.; Liu J.; Guo R.,2022,quantum-inspired,Swarm intelligence,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",single,Position Modality,unimodal,reasoning,"Convert path planning into an optimization problem of Bezier curve control points, search for the optimal control points using BES-MQPSO, and output a high-order continuous, obstacle-avoiding, and shortest smooth path.",Optimization,Optimization:Enhance the performance of PSO with bald eagle search strategies to search for optimal solution.,Navigation Path Planning,Generic Robotics,Mobile Robot(unspecified),Null,Classical execution of quantum-inspired method,,Numerical or engineering simulation,Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
112,Application of Improved BQGA in Robot Kinematics Inverse Solution,Journal of Robotics,Journal,Robotics,https://www.scopus.com/pages/publications/85062330345?origin=resultslist,Lv X.; Zhao M.,2019,quantum-inspired,Evolutionary computation,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",single,Proprioception,unimodal,execution,"Transform the inverse kinematics solution into a constrained multivariate nonlinear optimization problem, and use BQGA to search for the optimal joint angle combination that makes the end-effector pose approach the target.","Optimization,Representation",Optimization:Use quantum-inspired mechanisms such as quantum superposition and quantum parallelism for optimization and solution.Representation:Adopt a quantum state encoding scheme based on Bloch Sphere coordinates.,Kinematics Dynamics Modeling,Generic Robotics,Fixed-base Robot,within the article,Classical execution of quantum-inspired method,,Numerical or engineering simulation,MATLAB,Embodied-side evaluation with classical quantum-inspired execution
113,Quantum genetic algorithm to evolve controllers for self-reconfigurable modular robots,World Journal of Engineering,Journal,Other,https://www.scopus.com/pages/publications/85083508765?origin=resultslist,Mezghiche M.K.; Djedi N.,2020,quantum-inspired,Evolutionary computation,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",single,Proprioception,unimodal,execution,"The real-observation quantum genetic algorithm represents the solution space using the superposition state of qubits, evolves via quantum gates, and searches for the optimal weights for the neural network controller.","Optimization,Control",Optimization:QGA is used to search for the optimal weights of the neural network controller.Representation:The neural controller is a feed-forward fully connected multi-layer perceptron that maps sensor and synchronization signals to motor and connector commands.,Control,Generic Robotics,Mobile Robot(unspecified),Null,Classical execution of quantum-inspired method,,Embodied simulator or benchmark environment,MATLAB + V-REP,Embodied-side evaluation with classical quantum-inspired execution
114,Trajectory Planning of Robot Based on Quantum Genetic Algorithm,Advances in Intelligent Systems and Computing,Conference,Artificial Intelligence,https://www.scopus.com/pages/publications/85034600648?origin=resultslist,Qingda G.; Yanming Q.; Peijie L.; Jianwu C.,2018,quantum-inspired,Evolutionary computation,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",single,Proprioception,unimodal,execution,"Between given points in Euclidean space and under physical constraints, QGA realizes time-optimal trajectory planning and provides motion planning for physical quantities such as joint displacement.",Optimization,Optimization:Quantum superposition and evolutionary mechanisms of QGA improve the efficiency of searching for optimal solutions in complex spaces.,Control,Generic Robotics,Fixed-base Robot,Null,Classical execution of quantum-inspired method,,Numerical or engineering simulation,MATLAB; Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
115,Imperfect Knowledge Base Self-organization in Robotic Intelligent Cognitive Control: Quantum Supremacy,Lecture Notes in Networks and Systems,Conference,Computer Science,https://www.scopus.com/pages/publications/85123289860?origin=resultslist,Ulyanov S.V.; Shevchenko A.V.; Shevchenko A.A.; Reshetnikov A.G.,2022,quantum-inspired,"Evolutionary computation,Fuzzy inference","Quantum probabilistic state representation of random variable distributions,Incorporating quantum algorithms",single,Proprioception,unimodal,execution,"Quantum fuzzy inference and quantum genetic algorithms performs online self-organization of imperfect knowledge bases, extractingt hidden quantum information to achieve stable control.","Optimization,Control","Optimization:Employ QGA to improve the efficiency of searching for optimal solutions in high-dimensional complex spaces.Control:Enhance the stability, accuracy, and adaptability in dynamic processes.",Control,Generic Robotics,Fixed-base Robot,Null,Classical execution of quantum-inspired method,,No embodied-side evaluation platform reported,,Algorithm-level/conceptual evaluation without explicit execution/evaluation
116,Optimal path planning for two-wheeled self-balancing vehicle pendulum robot based on quantum-behaved particle swarm optimization algorithm,Personal and Ubiquitous Computing,Journal,Computer Science,https://www.scopus.com/pages/publications/85064493905?origin=resultslist,Qian Q.; Wu J.; Wang Z.,2019,quantum-inspired,Swarm intelligence,"Quantum probabilistic state representation of random variable distributions,Incorporating quantum algorithms",single,Proprioception,unimodal,execution,"In a space free-floating environment, QPSO is employed to search for the optimal joint motion trajectory parameters to adjust the joint angles so that both the base attitude and the end-effector position of the robot can reach the desired states.",Optimization,"Optimization:QPSO searches for the optimal joint trajectory in a complex, high-dimensional solution space.",Control,Generic Robotics,Wheeled Robot,Null,Classical execution of quantum-inspired method,,Numerical or engineering simulation,Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
117,Multi-Robot Plume Source Localization Based on Swarm Evolution Mechanisms,ACM International Conference Proceeding Series,Conference,Computer Science,https://www.scopus.com/pages/publications/85112868313?origin=resultslist,Li R.-G.; Wu H.-N.,2021,quantum-inspired,Swarm intelligence,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",multi,Enviromental Modality,unimodal,reasoning,"QLBO balances global and local search via adaptive weights, realizes ordered formation and obstacle avoidance through the leader-following strategy, and performs path planning for multi-robot systems.",Optimization,Optimization:QLBO inherits the quantum-inspired optimization idea of QPSO to search for the optimal path in the environmental state space.,Navigation Path Planning,Generic Robotics,Mobile Robot(unspecified),Null,Classical execution of quantum-inspired method,,No embodied-side evaluation platform reported,,Algorithm-level/conceptual evaluation without explicit execution/evaluation
118,Revolutionizing Sustainable Energy Production with Quantum Artificial Intelligence: Applications in Autonomous Robotics and Data Management,Green and Low-Carbon Economy,Journal,Other,https://www.scopus.com/pages/publications/105030714295?origin=resultslist,Baklaga L.,2025,hybrid,Neural networks,"Quantum probabilistic state representation of random variable distributions,Quantum random number generation",single,"Enviromental Modality,Proprioception",unimodal,perception,QNN-based continuous monitoring and assessment of environmental activities.,"Learning,Probabilistic","Learning:Quantum algorithms can resolve complex optimization problems within a rational time,thereby significantly shortening model training cycles.Probabilistic: Generate truly random number of N bits to provide high-quality stochastic seeds.",Monitoring Inspection,Generic Robotics,Wheeled Robot,Null,Cloud quantum backend,IBM cloud,No embodied-side evaluation platform reported,,One-sided execution/evaluation without explicit counterpart
119,Minimum-time trajectory planning for an inchworm-like climbing robot based on quantum-behaved particle swarm optimization,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART C-JOURNAL OF MECHANICAL ENGINEERING SCIENCE,Journal,Other,https://doi.org/10.1177/0954406216646138,"Yao, Jianjun; Huang, Yuxuan; Wan, Zhenshuai; Zhang, Le; Sun, Cheng; Zhang, Xiaodong",2017,quantum-inspired,Swarm intelligence,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",single,Proprioception,unimodal,execution,QPSO minimizes the total time required for the robot to complete the climbing action while satisfying joint velocity constraints.,Optimization,Optimization:QPSO optimizes the time parameters in the robot trajectory.,Control,Generic Robotics,Crawling Robot,Null,Classical execution of quantum-inspired method,,Numerical or engineering simulation,Numerical simulation; Kinematic Simulator,Embodied-side evaluation with classical quantum-inspired execution
120,A step identification method of joint parameters of robots based on the measured pose of end-effector,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART C-JOURNAL OF MECHANICAL ENGINEERING SCIENCE,Journal,Other,https://doi.org/10.1177/0954406215569589,"Fang, Lijin; Dang, Pengfei",2015,quantum-inspired,Swarm intelligence,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",single,Proprioception,unimodal,execution,"QPSO transforms robot kinematic parameter identification into a nonlinear optimization problem, and solves the optimal correction of joint parameters through global optimization to improve the pose accuracy of the end-effector.",Optimization,Optimization:QPSO search for the optimal correction of joint parameters.,Kinematics Dynamics Modeling,Generic Robotics,Fixed-base Robot,Null,Classical execution of quantum-inspired method,,Numerical or engineering simulation,Numerical simulation; Kinematic Simulator,Embodied-side evaluation with classical quantum-inspired execution
121,Design of optimized controllers for underactuated rotary double inverted pendulum inspired systems,TRANSACTIONS OF THE INSTITUTE OF MEASUREMENT AND CONTROL,Journal,Computer Science,https://doi.org/10.1177/01423312251356925,"Ghosh, Arabinda; Singh, Omkar; Ray, Anjan Kumar",2025,quantum-inspired,Swarm intelligence,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",single,Proprioception,unimodal,execution,QPSO automatically optimizes the parameters of the LQRI controller to make the system more stable.,"Optimization,Control",Optimization:QPSO optimizes the values of the optimal weighting matrices Q and R for LQRI.Control:The optimized LQRI controller is directly applied to underactuated dynamic systems.,Control,Generic Robotics,Fixed-base Robot,Null,Classical execution of quantum-inspired method,,Physical embodied platform,Numerical simulation; Physical robot platforms,Embodied-side evaluation with classical quantum-inspired execution
122,An improved QPSO-SVM-based approach for predicting the milling force for white marble in robot stone machining,Journal of Intelligent and Fuzzy Systems,Journal,Artificial Intelligence,https://www.scopus.com/pages/publications/85113244412?origin=resultslist,Yin F.; Ji Q.; Jin C.; Wang J.,2021,quantum-inspired,Swarm intelligence,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",single,Proprioception,unimodal,execution,QPSO-SVM improves the execution stability and force control capabilities by enhancing the prediction accuracy of milling force and the optimization ability of machining parameters during robotic machining.,Optimization,Optimization:QPSO optimizes the parameters of SVM to improve the prediction accuracy of milling force.,Control,Manufacturing,Fixed-base Robot,Null,Classical execution of quantum-inspired method,,Physical embodied platform,Stone-carving robotic manipulator,Embodied-side evaluation with classical quantum-inspired execution
123,Entangled Gondolas. Design of Multi-layer Networks of Quantum-Driven Robotic Swarms,Communications in Computer and Information Science,Conference,Computer Science,https://www.scopus.com/pages/publications/85190375230?origin=resultslist,Mannone M.; Marwan N.; Seidita V.; Chella A.; Giacometti A.; Fazio P.,2024,hybrid,Swarm intelligence,"Quantum probabilistic state representation of random variable distributions,Quantum circuit-based decision-making",multi,Position Modality,unimodal,reasoning,"Encode state information such as robot positions and target proximity into quantum states, and leverage quantum circuits to implement parallel decision-making and collaborative path planning, so as to improve the operational efficiency and swarm coordination capability of multi-robot systems.","Optimization,Representation","Optimization:The quantum circuit-based decision-making mechanism essentially leverages the principles of quantum superposition and parallelism to accelerate the search for optimal solutions.Representation:Qubit are employed to encode critical information, including robot state representations, target coordinates, and reward signals.",Coordination,Generic Robotics,Aquatic Robot,https://github.com/medusamedusa/10_little_ants,Quantum simulator or software framework,Remote IBM quantum simulators,No embodied-side evaluation platform reported,,One-sided execution/evaluation without explicit counterpart
124,Quantum IT-Engineering in the Tasks of Intelligent Control of Physical Systems,PHYSICS OF PARTICLES AND NUCLEI,Journal,Physics,https://doi.org/10.1134/S1063779624030973,"Zrelov, P.; Zrelova, D.; Katulin, M.; Korenkov, V.; Reshetnikov, A.; Ulyanov, S.",2024,hybrid,Fuzzy inference,Quantum probabilistic state representation of random variable distributions,single,Proprioception,unimodal,execution,"The control task is decomposed into multiple independent knowledge bases, with quantum fuzzy inference acting as a coordinator to evaluate current operating conditions in real time and dynamically allocate/fuse the decision weights of each knowledge bases.",Control,"Optimization:QFI extracts complementary information from multiple ""weak/imperfect"" knowledge bases to generate more robust control commands, significantly reducing decision uncertainty.",Control,Generic Robotics,Wheeled Robot,Null,Quantum simulator or software framework,PennyLane,No embodied-side evaluation platform reported,,One-sided execution/evaluation without explicit counterpart
125,Intelligent Robust Control of Autonomous Robot: Quantum Self-Organization of Imperfect Knowledge Bases-Experiment,JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL,Journal,Computer Science,https://doi.org/10.1134/S1064230723050131,"Reshetnikov, A. G.; Ulyanov, V. S.; Ulyanov, S. V.",2023,quantum-inspired,Fuzzy inference,Quantum probabilistic state representation of random variable distributions,single,Proprioception,unimodal,execution,"QFI utilizes quantum algorithms to achieve self-organized fusion across multiple imperfect fuzzy knowledge bases,calculating and outputting optimal low-level execution parameters in real time to safeguard the system's control robustness and goal achievement under unconventional working conditions",Control,Control:The direct outputs of the QFI are the control gain coefficients;these parameters are directly fed into the microcontroller to regulate the voltage and rotational speed driving the cart motors in real time.,Control,Generic Robotics,Wheeled Robot,Null,Classical execution of quantum-inspired method,,No embodied-side evaluation platform reported,,Algorithm-level/conceptual evaluation without explicit execution/evaluation
126,A Variational Quantum Soft Actor-Critic Algorithm for Continuous Control Tasks,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Conference,Computer Science,https://www.scopus.com/pages/publications/85215996313?origin=resultslist,Policicchio A.; Acuto A.; Barillà P.; Bozzolo L.; Conterno M.,2025,hybrid,Reinforcement learning,Parameterized quantum circuit as learnable operator,single,Proprioception,unimodal,execution,"QRL enables optimal policy decision-making, action-value evaluation, and high-precision autonomous motion execution under continuous states.","Learning,Control","Learning:Replacing classical network layers with PQCs to realize quantum-enhanced reinforcement learning.Control:Applying QRL to manipulator continuous control, aiming to improve stability, accuracy, and environmental adaptability in dynamic control processes.",Control,Generic Robotics,Fixed-base Robot,Null,Quantum simulator or software framework,TensorFlow Quantum; Cirq,No embodied-side evaluation platform reported,,One-sided execution/evaluation without explicit counterpart
127,A meta-heuristic proposal for inverse kinematics solution of 7-DOF serial robotic manipulator: quantum behaved particle swarm algorithm,ARTIFICIAL INTELLIGENCE REVIEW,Journal,Artificial Intelligence,https://doi.org/10.1007/s10462-019-09683-x,"Dereli, Serkan; Koker, Rasit",2020,quantum-inspired,Swarm intelligence,Quantum-inspired parameter update mechanism,single,Proprioception,unimodal,execution,"QPSO replaces classical deterministic search with quantum probabilistic state evolution and potential well mechanism, achieving globally efficient optimization for inverse kinematics of high-degree-of-freedom manipulators.",Optimization,Optimization:QPSO efficiently solves the constrained optimization problem of inverse kinematics via quantum probabilistic search mechanism in high-dimensional joint solution space.,Kinematics Dynamics Modeling,Generic Robotics,Fixed-base Robot,Null,Classical execution of quantum-inspired method,,No embodied-side evaluation platform reported,,Algorithm-level/conceptual evaluation without explicit execution/evaluation
